tags,ave_area,x_min,median_aspect_ratio,max_aspect_ratio,publish_time,title,PWN,orientable,num_geometric_degenerated_faces,max_dihedral_angle,category,p25_aspect_ratio,num_complanar_intersecting_faces,total_area,ave_dihedral_angle,num_connected_components,p95_dihedral_angle,vertex_manifold,median_valance,license,max_valance,median_dihedral_angle,num_vertices,min_valance,stl_file,min_aspect_ratio,euler_characteristic,z_max,num_boundary_edges,x_max,thing_id,num_combinatorial_degenerated_faces,y_min,p25_area,p25_dihedral_angle,p75_aspect_ratio,p95_aspect_ratio,p90_area,edge_manifold,y_max,p90_aspect_ratio,subcategory,p75_valance,min_dihedral_angle,num_duplicated_faces,link,p25_valance,max_area,min_area,p95_area,solid,p90_valance,z_min,ave_valance,ave_aspect_ratio,p75_dihedral_angle,num_self_intersections,author,num_faces,p75_area,median_area,img_file,p90_dihedral_angle,json_file,p95_valance
"['rover', 'spider', 'walking']",1.4102,-77.58740234375,3.20646,6335850000.0,2014-09-19T14:31:19,Spider Rover ,1,1,18,3.14159,toys-and-games,2.16593,28,15154.0,0.519279,1,1.5708,1,5.0,Attribution - Non-Commercial - Share Alike,73.0,0.0805766,5365,3.0,779964.stl,1.03379,-8,1.5999999046325684,,-77.1144027709961,468872,,-23.97279930114746,0.247989,,31.7623,889.714,1.41201,1,-23.559600830078125,463.875,mechanical-toys,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/45/71/78/e0/07/deck_bottom.stl,5.0,259.0,,5.67751,,7.0,1.5999999046325684,6.00895,716232.0,1.19335,110,johann517,10746,0.754683,0.462537,779964.png,1.5708,779964.json,8.0
"['articulado', 'ball_jointed', 'cool', 'doll', 'jointed', 'printdoll', 'robot', 'wierd']",0.304431,-18.915115356445312,2.94879,3196570.0,2015-02-27T13:49:33,BeQui;  Jointed Robot ,1,1,,3.14158,models,1.35752,,9337.5,0.135797,2,0.875242,1,6.0,Creative Commons - Attribution - Share Alike,64.0,0.045954,15336,3.0,1131717.stl,1.00048,,-212.26025390625,,-18.678428649902344,701051,,-19.77655029296875,0.0850574,0.00111409,4.59996,20.0068,0.445776,1,-19.455459594726562,8.52243,model-robots,8.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/14/e7/18/8a/e5/2__femur.stl,4.0,29.2098,2.34964e-07,0.91199,,8.0,-213.19239807128906,6.0,1827.8,0.0955037,116,bqLabs,30672,0.309625,0.166873,1131717.png,0.175864,1131717.json,8.0
"['christmas', 'gift', 'holiday', 'makerbot', 'nutcracker']",0.198868,32.597999572753906,1.47253,1566030000.0,2014-12-06T00:47:01,Nutcracker ,1,1,1,3.14159,household,1.24374,9,2224.54,0.169411,3,1.55715,1,6.0,Creative Commons - Attribution - Non-Commercial,85.0,0.0163456,5599,3.0,931878.stl,1.00055,6,11.0,,33.597999572753906,579567,,11.591397285461426,0.0577268,0.00202835,2.77727,85.0397,0.436765,1,11.591397285461426,15.0624,decor,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/b2/87/50/5d/e1/Ears.stl,5.0,13.7148,,0.778372,,8.0,10.0,5.99357,458012.0,0.0735229,141,MakerBot,11186,0.183837,0.109581,931878.png,0.36539,931878.json,8.0
"['laser', 'laser_chess', '3D', 'board_game', 'boardgame', 'chess', 'chessboard', 'electronics', 'featured', 'game', 'laser_cutter', 'makerbot', 'openscad']",266.667,-10.0,1.29282,1.29282,2011-09-21T21:33:06,Laser Chess ,1,1,,1.5708,None,1.20711,,3200.0,1.0472,1,1.5708,1,4.0,Creative Commons - Attribution - Share Alike,6.0,1.5708,8,4.0,37620.stl,1.20711,2,30.0,,-10.0,11782,,-10.0,200.0,,1.29282,1.29282,300.0,1,10.0,1.29282,None,4.5,,,https://thingiverse-production-new.s3.amazonaws.com/assets/a8/f8/1d/98/c5/laser_chess_GaurdOrKing.stl,4.0,300.0,200.0,300.0,1,6.0,,4.5,1.26425,1.5708,,colah,12,300.0,300.0,37620.png,1.5708,37620.json,6.0
"['flute', 'music', 'recorder', 'empire_state_building', 'instrument']",35.7213,-21.923261642456055,1.27242,2.87624,2011-10-25T11:24:56,Empire State Recorder (instrument) ,1,1,,1.57158,None,1.25238,,571.541,0.800427,1,1.57158,1,4.0,Creative Commons - Attribution - Share Alike,6.0,0.831757,10,4.0,41929.stl,1.15483,2,37.434600830078125,,-19.073427200317383,12904,,-9.746228218078613,19.5337,,1.63407,2.87624,86.3184,1,-3.6740005016326904,2.79314,None,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/4c/0d/a1/1c/3c/empirerecorder-spire.stl,4.0,89.1761,8.62152,89.1761,1,6.0,8.2005615234375,4.8,1.63326,1.5702,,cymon,16,39.446,23.9727,41929.png,1.5708,41929.json,6.0
,0.739588,3.0587821006774902,1.51293,1454.01,2012-11-16T07:42:57,The Hanger Chain  ,1,1,,1.31456,household,1.30921,,5046.95,0.132278,1,0.916835,1,6.0,Creative Commons - Attribution - Non-Commercial,14.0,0.0682234,3412,3.0,99812.stl,1.00051,,-1.40730619430542,,6.774359703063965,34670,,-44.85357666015625,0.235304,6.31077e-06,2.51494,14.1037,1.51859,1,-40.10019302368164,4.98978,organization,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/6a/62/9e/24/fe/hanger_chain3_hook.stl,6.0,25.3346,1.41728e-05,2.49788,1,7.0,-1.40730619430542,6.0,4.84522,0.163672,,paulhoover,6824,0.768249,0.430081,99812.png,0.260781,99812.json,7.0
"['clock', 'desk_clock', 'divers_watch', 'watch']",3.15195,50.00000762939453,1.26611,11230.9,2015-01-03T03:18:06,Large scale Divers watch desk clock ,1,1,,1.9252,gadgets,1.24537,,14568.3,0.163792,1,1.5708,1,6.0,Creative Commons - Attribution - Non-Commercial,41.0,0.0018729,2311,4.0,996810.stl,1.21521,,2.7840003967285156,,51.16600799560547,619550,,-1.7009986639022827,1.02197,0.000352986,1.71233,195.282,5.16788,1,0.0010013580322265625,78.6013,,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/58/47/c6/2a/89/Back_outer.stl,6.0,284.17,0.0384984,10.7604,1,6.0,2.184000015258789,6.0,46.4406,0.0151152,,francfalco,4622,1.17186,1.09751,996810.png,0.732108,996810.json,6.5
"['bird', 'birdhouse', 'BirdhouseChallenge', 'Birdhouse_Challenge', 'customizable_birdhouse', 'customizer', 'house']",238.75,-83.19999694824219,4.58759,131771000.0,2013-06-24T14:21:00,Bird House Customizer by TheNewHob,1,1,,2.65803,household,2.15742,,217740.0,0.64168,4,1.5708,1,5.0,Creative Commons - Attribution - Non-Commercial,27.0,7.81362e-05,452,3.0,226774.stl,1.04141,-4,121.0,,-83.19999694824219,106951,,-63.5,5.56002,,12.9026,304.336,172.898,1,63.5,75.076,outdoor-and-garden,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/1e/b7/6f/91/85/Tree_Swallow_TNH.stl,5.0,10629.9,0.0283935,754.753,,7.0,,6.0531,202726.0,1.5708,,ist,912,36.9882,11.6409,226774.png,1.5708,226774.json,10.0
['interesting'],1.58283,-20.0,3.32922,67595200000.0,2012-05-27T17:47:02,Constrained Symmetric Coupling Study ,1,1,,3.14159,toys-and-games,1.94933,5,5489.24,0.587289,1,1.5708,1,6.0,Attribution - Non-Commercial - Share Alike,37.0,4.18307e-05,1690,3.0,72347.stl,1.01972,-44,4.0,,-20.0,23795,,-15.0,0.364951,,11.8141,5045.02,2.37304,1,15.0,141.623,construction-toys,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/f3/15/d1/b7/ee/mateB.stl,5.0,60.0,6.06225e-07,4.20968,,8.0,,6.15621,63017300.0,1.5708,10,mrule,3468,1.69962,1.1037,72347.png,1.5708,72347.json,9.0
"['optimus_prime', 'tardis', 'toy', 'transformer']",7.13027,33.83660888671875,1.87952,48037900.0,2013-07-06T18:01:54,Tardis Transformer V2 ,1,1,,3.0412,toys-and-games,1.24277,,9098.22,0.498076,2,1.57462,1,6.0,Creative Commons - Attribution,21.0,0.188521,636,3.0,375260.stl,1.00462,-2,13.039054870605469,,33.83660888671875,113117,,32.399837493896484,0.570913,1.40641e-07,4.85665,124.311,12.4556,1,35.50127410888672,24.3475,mechanical-toys,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/73/e0/82/4a/23/lowerlegleft_blue.stl,5.0,233.04,0.000255343,34.0913,1,7.0,11.733667373657227,6.01887,37784.5,0.619938,,Ellindsey,1276,3.78391,1.19822,375260.png,1.5708,375260.json,9.0
"['architecture', 'budmen', 'cloud', 'cloud_factory', 'factory', 'fiction', 'imagination', 'isaac_budmen', 'model']",0.446406,-27.552749633789062,2.2111,24189400.0,2013-05-26T19:30:35,Cloud Factory ,1,,,3.14159,models,1.50163,2,12260.1,0.356924,8,1.61178,,6.0,Creative Commons - Attribution - Non-Commercial,103.0,0.107309,13726,2.0,206319.stl,1.00014,-1,1.4780000448226929,,-24.735029220581055,94164,4,-28.56475067138672,0.00330155,0.000219277,5.83125,154.1,0.837623,,-26.648250579833984,36.7665,,6.0,,1,https://thingiverse-production-new.s3.amazonaws.com/assets/9f/02/87/73/a5/cloud-factory.stl,5.0,380.683,,1.72707,,8.0,1.0720000267028809,6.00189,2020.27,0.398489,1,ibudmen,27464,0.186714,0.0687237,206319.png,1.37297,206319.json,9.0
"['animal', 'sculpture']",0.79561,-14.367669105529785,1.22994,25524.1,2012-11-26T10:48:33,Superlambanana ,1,1,,3.01087,art,1.09348,,5908.2,0.155354,1,0.408113,1,6.0,GNU - GPL,14.0,0.0809082,3715,3.0,101902.stl,1.00003,2,41.145957946777344,,-13.55908203125,35532,,-31.36447525024414,0.244791,0.0349369,1.4973,3.02583,1.73527,1,-30.91101837158203,2.03518,sculptures,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/d8/fa/59/25/d8/Super_Lambanana.stl,5.0,17.3977,2.41842e-05,2.53938,,8.0,40.609947204589844,5.99677,11.5042,0.167362,6,Bracken,7426,0.916177,0.462228,101902.png,0.280692,101902.json,8.0
"['board', 'chess', 'dragon', 'fantasy', 'fire', 'game', 'game_of_thrones', 'Ice', 'Ill_Gotten_Games', 'medieval', 'RPG', 'strategy', 'tabletop', 'thrones', 'toy']",0.300465,6.625500202178955,1.38106,21692.5,2013-05-22T08:11:18,George R. R. Martin&#039;s Cyvasse (unofficial game) ,1,1,,3.03766,toys-and-games,1.16478,,14886.2,0.287282,2,1.52977,1,6.0,Creative Commons - Attribution - Share Alike,92.0,0.167713,24776,3.0,203218.stl,1.00003,4,2.000999927520752,,23.57295036315918,92172,,-25.0,0.0840677,0.0642801,1.94942,7.36614,0.393015,1,-25.0,3.54349,games,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/81/7f/2a/b2/09/screen_braces.stl,5.0,454.074,1.35926e-05,0.558335,1,8.0,,5.99903,6.69547,0.322779,,dutchmogul,49544,0.235736,0.144391,203218.png,0.644064,203218.json,9.0
"['Action_Figure', 'anime', 'ModioChallenge', 'sword', 'toy', 'weapon']",6.37928,-24.280542373657227,2.00973,136552.0,2014-10-09T03:45:48,Omnis Terra ,1,1,,2.71087,toys-and-games,1.30895,,7412.72,0.510366,1,1.95118,1,6.0,Creative Commons - Attribution - Non-Commercial,17.0,0.0380866,579,3.0,841122.stl,1.00738,-2,12.996999740600586,,-23.863000869750977,492429,,15.31569766998291,0.922158,,6.87722,115.794,12.1874,1,15.992728233337402,20.1735,construction-toys,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/e5/5c/34/2c/f1/shield_2of2_white.stl,5.0,77.7908,6.47659e-05,23.2445,1,8.0,12.496000289916992,6.02073,220.893,1.5708,,SIMPAD17,1162,9.54632,3.31219,841122.png,1.5708,841122.json,10.0
"['hex', 'screw', 'star', 'toy']",0.0362582,25.600000381469727,2.61013,24653.0,2013-05-17T10:57:11,SCREW TOY ,1,1,,2.96848,toys-and-games,1.52266,,1377.01,0.0713097,1,0.23184,1,6.0,Attribution - Non-Commercial - No Derivatives,36.0,0.0339867,18991,3.0,200081.stl,1.00001,2,19.60955047607422,,26.145503997802734,90302,,-52.45798110961914,0.0054298,0.00632413,3.27894,6.21657,0.067274,1,-52.42879867553711,4.99336,,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/68/8d/23/65/68/SCREW_STAR_Small.stl,5.0,3.7915,1.73071e-07,0.111056,1,7.0,19.49736213684082,5.99937,4.10365,0.0969623,,hiroaki_nishimura,37978,0.0334963,0.0100034,200081.png,0.195514,200081.json,8.0
"['4-8-8-4', 'Locomotive', 'railroad', 'scale_model', 'Steam_Locomotive', 'steam_train', 'Union_Pacific']",0.919548,2.908172369003296,10.7536,624.637,2014-02-27T19:59:32,4-8-8-4 Big Boy Locomotive ,1,1,,1.57089,models,2.88114,,891.962,0.538713,1,1.5708,1,6.0,Creative Commons - Attribution,56.0,0.0376985,487,4.0,472016.stl,1.36603,2,4.233330726623535,,3.7931389808654785,259005,,3.408315896987915,0.112712,,35.4212,38.9087,1.83972,1,4.024820327758789,35.4213,vehicles,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/93/36/bc/ef/bc/CrossHead_Pin.STL,5.0,39.1237,0.00115258,1.83972,1,6.0,4.233330726623535,5.97536,21.0401,1.5708,,MakerBot,970,1.83971,0.427284,472016.png,1.5708,472016.json,7.0
"['balloon', 'whistle_goes_wooo_WOOOO']",2.61645,-18.53553009033203,2.35264,1425660000000.0,2013-02-06T07:40:02,Balloon Powered Turbine ,1,1,1,3.14159,toys-and-games,1.28538,9,10178.0,0.365935,1,1.5708,1,6.0,Creative Commons - Attribution - Share Alike,26.0,0.0537152,1943,3.0,128336.stl,1.00885,-2,13.82030963897705,,-17.777849197387695,47565,,10.456009864807129,0.239914,2.38308e-06,6.30055,98.0054,5.1724,1,11.379240036010742,23.7522,mechanical-toys,7.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/1d/ca/8d/0d/b2/turbinehousing_repaired.stl,5.0,77.3212,,12.1542,,8.0,12.949769973754883,6.00618,885363000.0,0.585467,34,petropixel,3890,1.50674,0.502881,128336.png,1.57079,128336.json,8.0
"['gyroscope', 'walking_toy']",0.497518,14.336814880371094,5.3225,1786.58,2015-04-11T01:58:30,Gyroman ,1,1,,2.5571,toys-and-games,5.3002,,5029.91,0.157866,1,1.50444,1,6.0,Creative Commons - Attribution - Share Alike,10.0,0.0278865,5055,4.0,1228198.stl,1.19288,,,,15.984883308410645,766501,,2.670837640762329,0.0407965,1.66326e-05,5.36588,10.9992,0.280707,1,3.4746546745300293,5.43025,mechanical-toys,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/d7/bf/2f/94/a7/foot.STL,6.0,20.652,0.000330387,1.14178,1,6.0,,6.0,8.56391,0.11364,,LoboCNC,10110,0.0415431,0.0410702,1228198.png,0.113678,1228198.json,7.0
"['3D', 'prototype', 'typeface']",0.535384,19.239837646484375,7.84764,8294990.0,2014-06-18T22:33:48,Next Level Sheet: 3d Printable Typeface ,1,1,,2.22485,art,4.25698,,10159.4,0.219605,1,1.90121,1,6.0,Creative Commons - Attribution - Share Alike,47.0,0.0110918,9490,3.0,636796.stl,1.01362,2,27.04840087890625,,22.785552978515625,367262,,31.992237091064453,0.0852861,0.000384581,15.0939,54.0702,1.3737,1,32.001529693603516,29.9991,signs-and-logos,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/bf/fd/ad/e6/00/G.stl,5.0,37.8193,1.16775e-05,1.89885,1,7.0,20.452848434448242,5.99874,1578.13,0.0322156,,9999NYC,18976,0.655012,0.278083,636796.png,1.17398,636796.json,8.0
"['clock', 'escapement', 'Gear', 'handle', 'mechanical', 'Planetary_Gear', 'printable', 'pulley', 'screw', 'spring', 'winding']",1.22851,-1.113328218460083,2.71589,31.6807,2014-05-12T07:11:15,3D printed mechanical Clock with Anchor Escapement ,1,1,,1.5708,3d-printing,1.42989,,1380.85,0.481019,1,1.5708,1,6.0,Creative Commons - Attribution - Share Alike,9.0,5.55112e-17,560,4.0,591221.stl,1.14245,-2,-21.0,,-0.30985382199287415,328569,,0.9536157250404358,0.380938,,4.40657,31.3345,1.52772,1,3.524017095565796,12.7266,,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/7a/c5/61/f6/59/Clock_Face_Hand_Second.stl,6.0,40.3097,0.0262368,2.54683,1,6.0,-21.0,6.02143,5.09389,1.5708,,TheGoofy,1124,0.783965,0.588001,591221.png,1.5708,591221.json,6.0
"['cryptex', 'LulzBot', 'puzzel', 'puzzle', 'toy']",2.50137,-9.946840286254883,5.79806,120555.0,2012-12-08T12:09:54,Mini Programable Cryptex ,1,1,,1.60023,toys-and-games,5.46956,,1730.95,0.557862,1,1.5708,1,5.0,Creative Commons - Attribution - Share Alike,19.0,0.0253952,346,3.0,105692.stl,1.05981,,,,-2.3931565284729004,37084,,9.709418296813965,0.226011,,23.5888,93.6011,2.84154,1,12.136773109436035,40.8624,puzzles,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/77/f4/fb/90/5a/mini_spacer_ring.stl,5.0,33.1873,0.000414213,17.926,1,7.0,,6.0,479.963,1.5708,,richards,692,1.73507,1.39391,105692.png,1.5708,105692.json,12.0
"['architecture', 'Cathedral', 'design_week', 'duomo', 'makerbot', 'milan', 'milano', 'sketchup', 'wefab', 'wilcox']",5.81026,7.292175769805908,4.17596,11516.1,2012-04-19T05:41:04,Duomo di Milano ,,,20,3.14159,models,1.82688,1067,22113.9,0.778803,30,1.68464,,6.0,Creative Commons - Attribution - Share Alike,56.0,0.260451,1851,2.0,67050.stl,1.00346,127,12.433730125427246,56,7.973291873931885,21637,,29.363420486450195,0.144668,,11.8157,48.9815,13.671,,30.325180053710938,32.3339,buildings-and-structures,6.0,,11,https://thingiverse-production-new.s3.amazonaws.com/assets/e3/e6/14/15/09/duomo.stl,5.0,218.736,,21.8736,,8.0,12.300849914550781,5.97515,63.7392,1.5708,6452,WeFab,3806,5.48533,0.926638,67050.png,1.5708,67050.json,9.0
"['atom', 'bohr', 'chemistry', 'customizer', 'electron', 'electron_configuration', 'gimbal', 'periodic_table', 'physics']",0.301121,-17.0,1.30545,528050000000000.0,2013-07-08T14:53:23,Customizable Atom Deluxe (every element preconfigured) ,1,1,,3.14159,learning,1.21232,6,34023.1,0.128905,6,1.43627,1,6.0,Creative Commons - Attribution,139.0,0.0644775,56478,3.0,331778.stl,1.00105,-16,3.0,,-16.863399505615234,114247,,-1.5238699913024902,0.00762286,0.000286287,2.55495,19.8993,0.430741,1,,11.4548,physics-and-astronomy,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/cb/18/7c/f8/d1/038_-_Sr_-_Strontium.stl,6.0,53.3487,8.34318e-17,1.17753,,6.0,1.4761300086975098,6.0017,24368100000.0,0.0897154,18,roman_hegglin,112988,0.0158457,0.0130232,331778.png,0.0899463,331778.json,6.0
"['beach', 'bucket', 'grovel', 'holiday', 'kids', 'mold', 'pail', 'park', 'play', 'playset', 'Play_Set', 'rake', 'Sandbox', 'sandcastle', 'sand_sculpture', 'scoop', 'sea', 'shovel', 'sieve', 'sifter', 'strainer', 'Summer', 'toy', 'toys', 'vacation']",1.46935,129.63900756835938,2.4905,8035030.0,2015-07-03T09:12:50,3D-printable sand play set ,1,1,5,3.14159,toys-and-games,1.44292,23,22416.5,0.408652,1,1.5708,1,6.0,Creative Commons - Attribution - Share Alike,40.0,0.0214649,7628,3.0,1436276.stl,1.00179,,9.789999961853027,,130.02000427246094,909118,,9.833999633789062,0.00649708,,5.921,130.753,1.06101,1,9.958999633789062,25.8539,playsets,6.0,,,https://thingiverse-production-new.s3.amazonaws.com/assets/7f/4a/2b/2e/43/3D-printable_sand_play_set_Rake_By_CT3D.xyz_.stl,5.0,442.27,,4.5,,7.0,8.942000389099121,6.0,2466.71,0.419125,60,CreativeTools,15256,0.253258,0.0398746,1436276.png,1.5708,1436276.json,9.0
